,vorname,anzahl,jahr
656,Alessandro,4,2016
657,Alessandro,2,2018
658,Alessandro,2,2019
659,Alessandro,2,2020
660,Alessandro,4,2021
661,Alessandro,5,2022
662,Alessia,4,2012
663,Alessia,5,2013
664,Alessia,2,2014
665,Alessia,6,2015
666,Alessia,41,2016
667,Alessia,47,2017
668,Alessia,23,2018
669,Alessia,24,2019
670,Alessia,17,2020
671,Alessia,14,2021
672,Alessia,7,2022
673,Alessian,2,2019
674,Alessio,7,2012
675,Alessio,2,2013
676,Alessio,8,2014
677,Alessio,14,2015
678,Alessio,52,2016
679,Alessio,34,2017
680,Alessio,29,2018
681,Alessio,32,2019
682,Alessio,16,2020
683,Alessio,20,2021
684,Alessio,11,2022
685,Alessya,2,2017
686,Alex,19,2012
687,Alex,14,2013
688,Alex,13,2014
689,Alex,27,2015
690,Alex,22,2016
691,Alex,24,2017
692,Alex,19,2018
693,Alex,18,2019
694,Alex,28,2020
695,Alex,29,2021
696,Alex,26,2022
697,Alexa,2,2013
698,Alexa,5,2014
699,Alexa,8,2015
700,Alexa,4,2016
701,Alexander,451,2012
702,Alexander,445,2013
703,Alexander,446,2014
704,Alexander,449,2015
705,Alexander,467,2016
706,Alexander,433,2017
707,Alexander,434,2018
708,Alexander,368,2019
709,Alexander,375,2020
710,Alexander,309,2021
711,Alexander,261,2022
712,Alexandra,79,2012
713,Alexandra,75,2013
714,Alexandra,63,2014
715,Alexandra,78,2015
716,Alexandra,88,2016
717,Alexandra,57,2017
718,Alexandra,68,2018
719,Alexandra,63,2019
720,Alexandra,49,2020
721,Alexandra,47,2021
722,Alexandra,41,2022
723,Alexandre,2,2015
724,Alexandre,2,2016
725,Alexandre,2,2018
726,Alexandre,4,2021
727,Alexandros,2,2014
728,Alexandros,2,2015
729,Alexandros,2,2017
730,Alexandros,4,2019
731,Alexandros,2,2020
732,Alexandros,2,2021
733,Alexandros,4,2022
734,Alexandrovič,2,2013
735,Alexandrovič,3,2014
736,Alexandrovič,2,2019
737,Alexandrovič,2,2021
738,Alexandrovna,2,2015
739,Alexandrovna,2,2017
740,Alexandrovna,4,2019
741,Alexandrovna,2,2022
742,Alexandru,2,2013
743,Alexandru,2,2015
744,Alexandru,4,2016
745,Alexandru,2,2018
746,Alexandru,2,2021
747,Alexandru,2,2022
748,Alexej,2,2012
749,Alexej,2,2014
750,Alexej,3,2015
751,Alexej,3,2019
752,Alexia,2,2013
753,Alexia,2,2015
754,Alexia,10,2016
755,Alexia,2,2021
756,Alexia,2,2022
757,Alexios,2,2021
758,Alexis,15,2012
759,Alexis,10,2013
760,Alexis,19,2014
761,Alexis,13,2015
762,Alexis,17,2016
763,Alexis,10,2017
764,Alexis,6,2018
765,Alexis,9,2019
766,Alexis,7,2020
767,Alexis,3,2021
768,Alexis,5,2022
769,Aleya,2,2019
770,Aleya,2,2022
771,Aleyna,17,2012
772,Aleyna,16,2013
773,Aleyna,18,2014
774,Aleyna,13,2015
775,Aleyna,12,2016
776,Aleyna,16,2017
777,Aleyna,26,2018
778,Aleyna,18,2019
779,Aleyna,35,2020
780,Aleyna,18,2021
781,Aleyna,22,2022
782,Alfie,2,2016
783,Alfie,8,2022
784,Alfons,8,2012
